,pCR,pRelapse,OS,Remission
TAZ_Squared,1.0,1.0,1.0,1.0
TAZ.pS89_Squared,1.0,1.0,1.0,1.0
TCF4_Squared,1.0,1.0,1.0,1.0
TGM2_Squared,1.0,1.0,1.0,1.0
TNK1_Squared,1.0,1.0,1.0,1.0
TP53_Squared,1.0,1.0,1.0,1.0
TP53.pS15_Squared,1.0,1.0,1.0,1.0
TRIM24_Squared,1.0,1.0,1.0,1.0
TRIM62_Squared,1.0,1.0,1.0,1.0
TSC2_Squared,1.0,1.0,1.0,1.0
VASP_Squared,1.0,1.0,1.0,1.0
VHL_Squared,1.0,1.0,1.0,1.0
WTAP_Squared,1.0,1.0,1.0,1.0
XIAP_Squared,1.0,1.0,1.0,1.0
XPO1_Squared,1.0,1.0,1.0,1.0
YAP1_Squared,1.0,1.0,1.0,1.0
YAP1p_Squared,1.0,1.0,1.0,1.0
YWHAE_Squared,1.0,1.0,1.0,1.0
YWHAZ_Squared,1.0,1.0,1.0,1.0
ZNF296_Squared,1.0,1.0,1.0,1.0
ZNF346_Squared,1.0,1.0,1.0,1.0
ACTB_Absolute,1.0,1.0,1.0,1.0
AIFM1_Absolute,1.0,1.0,1.0,1.0
AKT1_Absolute,1.0,1.0,1.0,1.0
AKT1_2_3.pS473_Absolute,1.0,1.0,1.0,1.0
AKT1_2_3.pT308_Absolute,1.0,1.0,1.0,1.0
ARC_Absolute,1.0,1.0,1.0,1.0
ASH2L_Absolute,1.0,1.0,1.0,1.0
ASNS_Absolute,1.0,1.0,1.0,1.0
ATF3_Absolute,1.0,1.0,1.0,1.0
ATG7_Absolute,1.0,1.0,1.0,1.0
BAD_Absolute,1.0,1.0,1.0,1.0
BAD.pS112_Absolute,1.0,1.0,1.0,1.0
BAD.pS136_Absolute,1.0,1.0,1.0,1.0
BAD.pS155_Absolute,1.0,1.0,1.0,1.0
BAK1_Absolute,1.0,1.0,1.0,1.0
BAX_Absolute,1.0,1.0,1.0,1.0
BCL2_Absolute,1.0,1.0,1.0,1.0
BCL2L1_Absolute,1.0,1.0,1.0,1.0
BCL2L11_Absolute,1.0,1.0,1.0,1.0
BECN1_Absolute,1.0,1.0,1.0,1.0
BID_Absolute,1.0,1.0,1.0,1.0
BIRC2_Absolute,1.0,1.0,1.0,1.0
BIRC5_Absolute,1.0,1.0,1.0,1.0
BMI1_Absolute,1.0,1.0,1.0,1.0
BRAF_Absolute,1.0,1.0,1.0,1.0
CASP3_Absolute,1.0,1.0,1.0,1.0
CASP3.cl175_Absolute,1.0,1.0,1.0,1.0
CASP7.cl198_Absolute,1.0,1.0,1.0,1.0
CASP8_Absolute,1.0,1.0,1.0,1.0
CASP9_Absolute,1.0,1.0,1.0,1.0
CASP9.cl315_Absolute,1.0,1.0,1.0,1.0
CASP9.cl330_Absolute,1.0,1.0,1.0,1.0
CAV1_Absolute,1.0,1.0,1.0,1.0
CBL_Absolute,1.0,1.0,1.0,1.0
CCNB1_Absolute,1.0,1.0,1.0,1.0
CCND1_Absolute,1.0,1.0,1.0,1.0
CCND3_Absolute,1.0,1.0,1.0,1.0
CCNE1_Absolute,1.0,1.0,1.0,1.0
CCNE2_Absolute,1.0,1.0,1.0,1.0
CD44_Absolute,1.0,1.0,1.0,1.0
CD74_Absolute,1.0,1.0,1.0,1.0
CDK1_Absolute,1.0,1.0,1.0,1.0
CDK2_Absolute,1.0,1.0,1.0,1.0
CDK4_Absolute,1.0,1.0,1.0,1.0
CDKN1A_Absolute,1.0,1.0,1.0,1.0
CDKN2A_Absolute,1.0,1.0,1.0,1.0
CLPP_Absolute,1.0,1.0,1.0,1.0
COPS5_Absolute,1.0,1.0,1.0,1.0
CREB1_Absolute,1.0,1.0,1.0,1.0
CREB1.pS133_Absolute,1.0,1.0,1.0,1.0
CTNNA1_Absolute,1.0,1.0,1.0,1.0
CTNNB1_Absolute,1.0,1.0,1.0,1.0
CTNNB1.pS33_37_41_Absolute,1.0,1.0,1.0,1.0
CTSG_Absolute,1.0,1.0,1.0,1.0
DIABLO_Absolute,1.0,1.0,1.0,1.0
DLX1_Absolute,1.0,1.0,1.0,1.0
DUSP6_Absolute,1.0,1.0,1.0,1.0
EGFR_Absolute,1.0,1.0,1.0,1.0
EGFR.pY992_Absolute,1.0,1.0,1.0,1.0
EGLN1_Absolute,1.0,1.0,1.0,1.0
EIF2AK2_Absolute,1.0,1.0,1.0,1.0
EIF2AK2.pT451_Absolute,1.0,1.0,1.0,1.0
EIF2S1_Absolute,1.0,1.0,1.0,1.0
EIF2S1.pS51._Absolute,1.0,1.0,1.0,1.0
EIF4E_Absolute,1.0,1.0,1.0,1.0
ELK1.pS383_Absolute,1.0,1.0,1.0,1.0
ERBB2_Absolute,1.0,1.0,1.0,1.0
ERBB2.pY1248_Absolute,1.0,1.0,1.0,1.0
ERBB3_Absolute,1.0,1.0,1.0,1.0
ERG_Absolute,1.0,1.0,1.0,1.0
Fli1_Absolute,1.0,1.0,1.0,1.0
FN1_Absolute,1.0,1.0,1.0,1.0
FOXO1.pT24_FOXO3.pT32_Absolute,1.0,1.0,1.0,1.0
FOXO3_Absolute,1.0,1.0,1.0,1.0
FOXO3.S318_321_Absolute,1.0,1.0,1.0,1.0
GAB2_Absolute,1.0,1.0,1.0,1.0
GAB2.pY452_Absolute,1.0,1.0,1.0,1.0
GAPDH_Absolute,1.0,1.0,1.0,1.0
GATA1_Absolute,1.0,1.0,1.0,1.0
GATA3_Absolute,1.0,1.0,1.0,1.0
GRP78_Absolute,1.0,1.0,1.0,1.0
GSKA_B_Absolute,1.0,1.0,1.0,1.0
GSKA_B.pS21_9_Absolute,1.0,1.0,1.0,1.0
H3histon_Absolute,1.0,1.0,1.0,1.0
H3K27Me3_Absolute,1.0,1.0,1.0,1.0
H3K4Me2_Absolute,1.0,1.0,1.0,1.0
H3K4Me3_Absolute,1.0,1.0,1.0,1.0
HDAC1_Absolute,1.0,1.0,1.0,1.0
HDAC2_Absolute,1.0,1.0,1.0,1.0
HDAC3_Absolute,1.0,1.0,1.0,1.0
HIF1A_Absolute,1.0,1.0,1.0,1.0
HNRNPK_Absolute,1.0,1.0,1.0,1.0
HSP90AA1_B1_Absolute,1.0,1.0,1.0,1.0
HSPA1A_L_Absolute,1.0,1.0,1.0,1.0
HSPB1_Absolute,1.0,1.0,1.0,1.0
IGF1R_Absolute,1.0,1.0,1.0,1.0
IGFBP2_Absolute,1.0,1.0,1.0,1.0
INPP5D_Absolute,1.0,1.0,1.0,1.0
INPPL1_Absolute,1.0,1.0,1.0,1.0
IRS1.pS1101_Absolute,1.0,1.0,1.0,1.0
ITGA2_Absolute,1.0,1.0,1.0,1.0
ITGAL_Absolute,1.0,1.0,1.0,1.0
ITGB3_Absolute,1.0,1.0,1.0,1.0
JMJD6_Absolute,1.0,1.0,1.0,1.0
JUNB_Absolute,1.0,1.0,1.0,1.0
JUN.pS73_Absolute,1.0,1.0,1.0,1.0
KDR_Absolute,1.0,1.0,1.0,1.0
KIT_Absolute,1.0,1.0,1.0,1.0
LCK_Absolute,1.0,1.0,1.0,1.0
LEF1_Absolute,1.0,1.0,1.0,1.0
LGALS3_Absolute,1.0,1.0,1.0,1.0
LSD1_Absolute,1.0,1.0,1.0,1.0
LYN_Absolute,1.0,1.0,1.0,1.0
MAP2K1_Absolute,1.0,1.0,1.0,1.0
MAP2K1_2.pS217_221_Absolute,1.0,1.0,1.0,1.0
MAPK1_Absolute,1.0,1.0,1.0,1.0
MAPK1_3.pT202Y204_Absolute,1.0,1.0,1.0,1.0
MAPK14_Absolute,1.0,1.0,1.0,1.0
MAPK14.pT180Y182_Absolute,1.0,1.0,1.0,1.0
MAPK9_Absolute,1.0,1.0,1.0,1.0
MAPT_Absolute,1.0,1.0,1.0,1.0
MCL1_Absolute,1.0,1.0,1.0,1.0
MDM2_Absolute,1.0,1.0,1.0,1.0
MDM4_Absolute,1.0,1.0,1.0,1.0
MET.pY1230_1234_1235_Absolute,1.0,1.0,1.0,1.0
MSI2_Absolute,1.0,1.0,1.0,1.0
MTOR_Absolute,1.0,1.0,1.0,1.0
MTOR.pS2448_Absolute,1.0,1.0,1.0,1.0
MYC_Absolute,1.0,1.0,1.0,1.0
NCL_Absolute,1.0,1.0,1.0,1.0
NF2_Absolute,1.0,1.0,1.0,1.0
NF2.pS518_Absolute,1.0,1.0,1.0,1.0
NOTCH1.cl1744_Absolute,1.0,1.0,1.0,1.0
NOTCH3_Absolute,1.0,1.0,1.0,1.0
NPM1_Absolute,1.0,1.0,1.0,1.0
NPM1.3542_Absolute,1.0,1.0,1.0,1.0
NR4A1_Absolute,1.0,1.0,1.0,1.0
NRP1_Absolute,1.0,1.0,1.0,1.0
ODC1_Absolute,1.0,1.0,1.0,1.0
PA2G4_Absolute,1.0,1.0,1.0,1.0
PA2G4.pS65_Absolute,1.0,1.0,1.0,1.0
PA2G4.pT37_46_Absolute,1.0,1.0,1.0,1.0
PA2G4.pT70_Absolute,1.0,1.0,1.0,1.0
PARK7_Absolute,1.0,1.0,1.0,1.0
PARP1_Absolute,1.0,1.0,1.0,1.0
PARP1.cl214_Absolute,1.0,1.0,1.0,1.0
PDK1_Absolute,1.0,1.0,1.0,1.0
PDK1.pS241_Absolute,1.0,1.0,1.0,1.0
PIK3CA_Absolute,1.0,1.0,1.0,1.0
PIK3R1_2_Absolute,1.0,1.0,1.0,1.0
PIM1_Absolute,1.0,1.0,1.0,1.0
PIM2_Absolute,1.0,1.0,1.0,1.0
PLAC1_Absolute,1.0,1.0,1.0,1.0
PPARA_Absolute,1.0,1.0,1.0,1.0
PPARG_Absolute,1.0,1.0,1.0,1.0
PPP2R2A_B_C_D_Absolute,1.0,1.0,1.0,1.0
PRKAA1_2_Absolute,1.0,1.0,1.0,1.0
PRKAA1_2.pT172_Absolute,1.0,1.0,1.0,1.0
PRKCA_Absolute,1.0,1.0,1.0,1.0
PRKCA.pS657_Absolute,1.0,1.0,1.0,1.0
PRKCB.I_Absolute,1.0,1.0,1.0,1.0
PRKCB.II_Absolute,1.0,1.0,1.0,1.0
PRKCD.pS645_Absolute,1.0,1.0,1.0,1.0
PRKCD.pS664_Absolute,1.0,1.0,1.0,1.0
PRKCD.pT507_Absolute,1.0,1.0,1.0,1.0
CDKN1B_Absolute,1.0,1.0,1.0,1.0
CDKN1B.pS10_Absolute,1.0,1.0,1.0,1.0
PTEN_Absolute,1.0,1.0,1.0,1.0
PTEN.pS380T382T383_Absolute,1.0,1.0,1.0,1.0
PTGS2_Absolute,1.0,1.0,1.0,1.0
PTK2_Absolute,1.0,1.0,1.0,1.0
PTPN11_Absolute,1.0,1.0,1.0,1.0
RAC1_2_3_Absolute,1.0,1.0,1.0,1.0
RB1_Absolute,1.0,1.0,1.0,1.0
RB1.pS807_811_Absolute,1.0,1.0,1.0,1.0
RELA_Absolute,1.0,1.0,1.0,1.0
RPS6_Absolute,1.0,1.0,1.0,1.0
RPS6KB1_Absolute,1.0,1.0,1.0,1.0
RPS6KB1.pT389_Absolute,1.0,1.0,1.0,1.0
RPS6.pS235_236_Absolute,1.0,1.0,1.0,1.0
RPS6.pS240_244_Absolute,1.0,1.0,1.0,1.0
SFN_Absolute,1.0,1.0,1.0,1.0
SIRT1_Absolute,1.0,1.0,1.0,1.0
SMAD1_Absolute,1.0,1.0,1.0,1.0
SMAD2_Absolute,1.0,1.0,1.0,1.0
SMAD2.pS245_Absolute,1.0,1.0,1.0,1.0
SMAD2.pS465_Absolute,1.0,1.0,1.0,1.0
SMAD3_Absolute,1.0,1.0,1.0,1.0
SMAD4_Absolute,1.0,1.0,1.0,1.0
SMAD5_Absolute,1.0,1.0,1.0,1.0
SMAD5.pS463_Absolute,1.0,1.0,1.0,1.0
SMAD6_Absolute,1.0,1.0,1.0,1.0
SOCS2_Absolute,1.0,1.0,1.0,1.0
SPI1_Absolute,1.0,1.0,1.0,1.0
SPP1_Absolute,1.0,1.0,1.0,1.0
SQSTM0_Absolute,1.0,1.0,1.0,1.0
SRC_Absolute,1.0,1.0,1.0,1.0
SRC.pY416_Absolute,1.0,1.0,1.0,1.0
SRC.pY527_Absolute,1.0,1.0,1.0,1.0
SSBP2_Absolute,1.0,1.0,1.0,1.0
STAT1_Absolute,1.0,1.0,1.0,1.0
STAT1.pY701_Absolute,1.0,1.0,1.0,1.0
STAT3_Absolute,1.0,1.0,1.0,1.0
STAT3.pS727_Absolute,1.0,1.0,1.0,1.0
STAT3.pY705_Absolute,1.0,1.0,1.0,1.0
STAT5A_B_Absolute,1.0,1.0,1.0,1.0
STAT5A_B.pY694_Absolute,1.0,1.0,1.0,1.0
STAT6.pY641_Absolute,1.0,1.0,1.0,1.0
STK11_Absolute,1.0,1.0,1.0,1.0
STMN1_Absolute,1.0,1.0,1.0,1.0
TAZ_Absolute,1.0,1.0,1.0,1.0
TAZ.pS89_Absolute,1.0,1.0,1.0,1.0
TCF4_Absolute,1.0,1.0,1.0,1.0
TGM2_Absolute,1.0,1.0,1.0,1.0
TNK1_Absolute,1.0,1.0,1.0,1.0
TP53_Absolute,1.0,1.0,1.0,1.0
TP53.pS15_Absolute,1.0,1.0,1.0,1.0
TRIM24_Absolute,1.0,1.0,1.0,1.0
TRIM62_Absolute,1.0,1.0,1.0,1.0
TSC2_Absolute,1.0,1.0,1.0,1.0
VASP_Absolute,1.0,1.0,1.0,1.0
VHL_Absolute,1.0,1.0,1.0,1.0
WTAP_Absolute,1.0,1.0,1.0,1.0
XIAP_Absolute,1.0,1.0,1.0,1.0
XPO1_Absolute,1.0,1.0,1.0,1.0
YAP1_Absolute,1.0,1.0,1.0,1.0
YAP1p_Absolute,1.0,1.0,1.0,1.0
YWHAE_Absolute,1.0,1.0,1.0,1.0
YWHAZ_Absolute,1.0,1.0,1.0,1.0
ZNF296_Absolute,1.0,1.0,1.0,1.0
ZNF346_Absolute,1.0,1.0,1.0,1.0
Binned2_ACTB,1.0,1.0,1.0,1.0
Binned2_AIFM1,1.0,1.0,1.0,1.0
Binned2_AKT1,1.0,1.0,1.0,1.0
Binned2_AKT1_2_3.pS473,1.0,1.0,1.0,1.0
Binned2_AKT1_2_3.pT308,1.0,1.0,1.0,1.0
Binned2_ARC,1.0,1.0,1.0,1.0
Binned2_ASH2L,1.0,1.0,1.0,1.0
Binned2_ASNS,1.0,1.0,1.0,1.0
Binned2_ATF3,1.0,1.0,1.0,1.0
Binned2_ATG7,1.0,1.0,1.0,1.0
Binned2_BAD,1.0,1.0,1.0,1.0
Binned2_BAD.pS112,1.0,1.0,1.0,1.0
Binned2_BAD.pS136,1.0,1.0,1.0,1.0
Binned2_BAD.pS155,1.0,1.0,1.0,1.0
Binned2_BAK1,1.0,1.0,1.0,1.0
Binned2_BAX,1.0,1.0,1.0,1.0
Binned2_BCL2,1.0,1.0,1.0,1.0
Binned2_BCL2L1,1.0,1.0,1.0,1.0
Binned2_BCL2L11,1.0,1.0,1.0,1.0
Binned2_BECN1,1.0,1.0,1.0,1.0
Binned2_BID,1.0,1.0,1.0,1.0
Binned2_BIRC2,1.0,1.0,1.0,1.0
Binned2_BIRC5,1.0,1.0,1.0,1.0
Binned2_BMI1,1.0,1.0,1.0,1.0
Binned2_BRAF,1.0,1.0,1.0,1.0
Binned2_CASP3,1.0,1.0,1.0,1.0
Binned2_CASP3.cl175,1.0,1.0,1.0,1.0
Binned2_CASP7.cl198,1.0,1.0,1.0,1.0
Binned2_CASP8,1.0,1.0,1.0,1.0
Binned2_CASP9,1.0,1.0,1.0,1.0
Binned2_CASP9.cl315,1.0,1.0,1.0,1.0
Binned2_CASP9.cl330,1.0,1.0,1.0,1.0
Binned2_CAV1,1.0,1.0,1.0,1.0
Binned2_CBL,1.0,1.0,1.0,1.0
Binned2_CCNB1,1.0,1.0,1.0,1.0
Binned2_CCND1,1.0,1.0,1.0,1.0
Binned2_CCND3,1.0,1.0,1.0,1.0
Binned2_CCNE1,1.0,1.0,1.0,1.0
Binned2_CCNE2,1.0,1.0,1.0,1.0
Binned2_CD44,1.0,1.0,1.0,1.0
Binned2_CD74,1.0,1.0,1.0,1.0
Binned2_CDK1,1.0,1.0,1.0,1.0
Binned2_CDK2,1.0,1.0,1.0,1.0
Binned2_CDK4,1.0,1.0,1.0,1.0
Binned2_CDKN1A,1.0,1.0,1.0,1.0
Binned2_CDKN2A,1.0,1.0,1.0,1.0
Binned2_CLPP,1.0,1.0,1.0,1.0
Binned2_COPS5,1.0,1.0,1.0,1.0
Binned2_CREB1,1.0,1.0,1.0,1.0
Binned2_CREB1.pS133,1.0,1.0,1.0,1.0
Binned2_CTNNA1,1.0,1.0,1.0,1.0
Binned2_CTNNB1,1.0,1.0,1.0,1.0
Binned2_CTNNB1.pS33_37_41,1.0,1.0,1.0,1.0
Binned2_CTSG,1.0,1.0,1.0,1.0
Binned2_DIABLO,1.0,1.0,1.0,1.0
Binned2_DLX1,1.0,1.0,1.0,1.0
Binned2_DUSP6,1.0,1.0,1.0,1.0
Binned2_EGFR,1.0,1.0,1.0,1.0
Binned2_EGFR.pY992,1.0,1.0,1.0,1.0
Binned2_EGLN1,1.0,1.0,1.0,1.0
Binned2_EIF2AK2,1.0,1.0,1.0,1.0
Binned2_EIF2AK2.pT451,1.0,1.0,1.0,1.0
Binned2_EIF2S1,1.0,1.0,1.0,1.0
Binned2_EIF2S1.pS51.,1.0,1.0,1.0,1.0
Binned2_EIF4E,1.0,1.0,1.0,1.0
Binned2_ELK1.pS383,1.0,1.0,1.0,1.0
Binned2_ERBB2,1.0,1.0,1.0,1.0
Binned2_ERBB2.pY1248,1.0,1.0,1.0,1.0
Binned2_ERBB3,1.0,1.0,1.0,1.0
Binned2_ERG,1.0,1.0,1.0,1.0
Binned2_Fli1,1.0,1.0,1.0,1.0
Binned2_FN1,1.0,1.0,1.0,1.0
Binned2_FOXO1.pT24_FOXO3.pT32,1.0,1.0,1.0,1.0
Binned2_FOXO3,1.0,1.0,1.0,1.0
Binned2_FOXO3.S318_321,1.0,1.0,1.0,1.0
Binned2_GAB2,1.0,1.0,1.0,1.0
Binned2_GAB2.pY452,1.0,1.0,1.0,1.0
Binned2_GAPDH,1.0,1.0,1.0,1.0
Binned2_GATA1,1.0,1.0,1.0,1.0
Binned2_GATA3,1.0,1.0,1.0,1.0
Binned2_GRP78,1.0,1.0,1.0,1.0
Binned2_GSKA_B,1.0,1.0,1.0,1.0
Binned2_GSKA_B.pS21_9,1.0,1.0,1.0,1.0
Binned2_H3histon,1.0,1.0,1.0,1.0
Binned2_H3K27Me3,1.0,1.0,1.0,1.0
Binned2_H3K4Me2,1.0,1.0,1.0,1.0
Binned2_H3K4Me3,1.0,1.0,1.0,1.0
Binned2_HDAC1,1.0,1.0,1.0,1.0
Binned2_HDAC2,1.0,1.0,1.0,1.0
Binned2_HDAC3,1.0,1.0,1.0,1.0
Binned2_HIF1A,1.0,1.0,1.0,1.0
Binned2_HNRNPK,1.0,1.0,1.0,1.0
Binned2_HSP90AA1_B1,1.0,1.0,1.0,1.0
Binned2_HSPA1A_L,1.0,1.0,1.0,1.0
Binned2_HSPB1,1.0,1.0,1.0,1.0
Binned2_IGF1R,1.0,1.0,1.0,1.0
Binned2_IGFBP2,1.0,1.0,1.0,1.0
Binned2_INPP5D,1.0,1.0,1.0,1.0
Binned2_INPPL1,1.0,1.0,1.0,1.0
Binned2_IRS1.pS1101,1.0,1.0,1.0,1.0
Binned2_ITGA2,1.0,1.0,1.0,1.0
Binned2_ITGAL,1.0,1.0,1.0,1.0
Binned2_ITGB3,1.0,1.0,1.0,1.0
Binned2_JMJD6,1.0,1.0,1.0,1.0
Binned2_JUNB,1.0,1.0,1.0,1.0
Binned2_JUN.pS73,1.0,1.0,1.0,1.0
Binned2_KDR,1.0,1.0,1.0,1.0
Binned2_KIT,1.0,1.0,1.0,1.0
Binned2_LCK,1.0,1.0,1.0,1.0
Binned2_LEF1,1.0,1.0,1.0,1.0
Binned2_LGALS3,1.0,1.0,1.0,1.0
Binned2_LSD1,1.0,1.0,1.0,1.0
Binned2_LYN,1.0,1.0,1.0,1.0
Binned2_MAP2K1,1.0,1.0,1.0,1.0
Binned2_MAP2K1_2.pS217_221,1.0,1.0,1.0,1.0
Binned2_MAPK1,1.0,1.0,1.0,1.0
Binned2_MAPK1_3.pT202Y204,1.0,1.0,1.0,1.0
Binned2_MAPK14,1.0,1.0,1.0,1.0
Binned2_MAPK14.pT180Y182,1.0,1.0,1.0,1.0
Binned2_MAPK9,1.0,1.0,1.0,1.0
Binned2_MAPT,1.0,1.0,1.0,1.0
Binned2_MCL1,1.0,1.0,1.0,1.0
Binned2_MDM2,1.0,1.0,1.0,1.0
Binned2_MDM4,1.0,1.0,1.0,1.0
Binned2_MET.pY1230_1234_1235,1.0,1.0,1.0,1.0
Binned2_MSI2,1.0,1.0,1.0,1.0
Binned2_MTOR,1.0,1.0,1.0,1.0
Binned2_MTOR.pS2448,1.0,1.0,1.0,1.0
Binned2_MYC,1.0,1.0,1.0,1.0
Binned2_NCL,1.0,1.0,1.0,1.0
Binned2_NF2,1.0,1.0,1.0,1.0
Binned2_NF2.pS518,1.0,1.0,1.0,1.0
Binned2_NOTCH1.cl1744,1.0,1.0,1.0,1.0
Binned2_NOTCH3,1.0,1.0,1.0,1.0
Binned2_NPM1,1.0,1.0,1.0,1.0
Binned2_NPM1.3542,1.0,1.0,1.0,1.0
Binned2_NR4A1,1.0,1.0,1.0,1.0
Binned2_NRP1,1.0,1.0,1.0,1.0
Binned2_ODC1,1.0,1.0,1.0,1.0
Binned2_PA2G4,1.0,1.0,1.0,1.0
Binned2_PA2G4.pS65,1.0,1.0,1.0,1.0
Binned2_PA2G4.pT37_46,1.0,1.0,1.0,1.0
Binned2_PA2G4.pT70,1.0,1.0,1.0,1.0
Binned2_PARK7,1.0,1.0,1.0,1.0
Binned2_PARP1,1.0,1.0,1.0,1.0
Binned2_PARP1.cl214,1.0,1.0,1.0,1.0
Binned2_PDK1,1.0,1.0,1.0,1.0
Binned2_PDK1.pS241,1.0,1.0,1.0,1.0
Binned2_PIK3CA,1.0,1.0,1.0,1.0
Binned2_PIK3R1_2,1.0,1.0,1.0,1.0
Binned2_PIM1,1.0,1.0,1.0,1.0
Binned2_PIM2,1.0,1.0,1.0,1.0
Binned2_PLAC1,1.0,1.0,1.0,1.0
Binned2_PPARA,1.0,1.0,1.0,1.0
Binned2_PPARG,1.0,1.0,1.0,1.0
Binned2_PPP2R2A_B_C_D,1.0,1.0,1.0,1.0
Binned2_PRKAA1_2,1.0,1.0,1.0,1.0
Binned2_PRKAA1_2.pT172,1.0,1.0,1.0,1.0
Binned2_PRKCA,1.0,1.0,1.0,1.0
Binned2_PRKCA.pS657,1.0,1.0,1.0,1.0
Binned2_PRKCB.I,1.0,1.0,1.0,1.0
Binned2_PRKCB.II,1.0,1.0,1.0,1.0
Binned2_PRKCD.pS645,1.0,1.0,1.0,1.0
Binned2_PRKCD.pS664,1.0,1.0,1.0,1.0
